동호회명,시도명,시군구명,종목명,부종목명,장애유형명,운영시간내용,동호회 소개내용
강북장애인수영동호회,서울특별시,서울특별시 강북구,수영,,지체(척수 및 절단 및 기타)장애,"매주화,목 오후4시","생활체육으로 건강증진및사회적 교류확대와 건강한 여가생활 향유하며, 장애인의 재활치료및 체력향상 도모.  장애인과 비장애인이 함께 참여하며 경쟁하고 장애인식 개선을 도모한다."
아이돌핀스수영클럽,제주특별자치도,제주특별자치도 제주시,수영,,발달(지적/자폐)장애,매주 화.수.목.금 오흐 7시,제주시에서 활동하고 있는 발달장애학생 및 성인 수영클럽입니다.
파워양천,서울특별시,서울특별시 양천구,수영,,지체(척수 및 절단 및 기타)장애,"매주 화,목,토 오후7시",
(기금)아쿠아조길교실,충청남도,충청남도 청양군,수영,,지체(척수 및 절단 및 기타)장애,"매주 수, 오후 3시",
재미나는 수영클럽,대구광역시,대구광역시 달서구,수영,,기타장애,"화, 목 오후 2시",#NAME?
한마음 동호인클럽,광주광역시,광주광역시 서구,수영,,지체(척수 및 절단 및 기타)장애,매주 월. 수. 금.  14시,누구나 생활체육으로 수영을 배우고 함께 어울리며 즐겁고 재미있게 수영을 배우고 싶으신분 환영합니디~    최정희  010-6624-6484    qudska0903@hanmail.net
니모수영동호회,제주특별자치도,제주특별자치도 제주시,수영,,발달(지적/자폐)장애,"매주토,일 09:00-10:00",
수영사랑 동호인클럽,광주광역시,광주광역시 서구,수영,,발달(지적/자폐)장애,매주 화.목.금 15시30분,누구나 생활체육으로 수영을 배우고 함께 어울리며 즐겁고 재미있게 수영을 배우고 싶으신분 환영합니디~
돌핀스,경상남도,경상남도 통영시,수영,,지체(척수 및 절단 및 기타)장애,"매주월,목",
(도비)슐런연구소,충청남도,충청남도 서산시,슐런,,지체(척수 및 절단 및 기타)장애,매주 월 13:00~14:00,
2023 청주DEAF슐런클럽,충청북도,충청북도 청주시,슐런,,청각장애,"매주 화,목 14시",청주시 농아인들이 어울리는 슐런 클럽입니다.
안산시 데프 슐런 클럽,경기도,경기도 안산시,슐런,,청각장애,일요일 오후3시~5시,저희 안산시 데프 슐런 클럽은 청각장애인과 비장애인이 함께 참여하는 어울림 슐런 클럽으로 청각장애인들의 신체적 기능 향상과 생활체육을 통한 삶의 질 향상을 위해 노력하고 있으며 슐런 기술을 습득하여 에이스 선수를 양성하는데 목적을 두고 활동 하고 있습니다.
다산장애인슐런클럽,경기도,경기도 남양주시,슐런,,기타장애,"매주 화,목 13~15시","중증장애인이 체육활동을 통해 체력을 증진하고 건전한 여가생활을 진작시키고, 회원 상호간 친목을 도모함. 또한 슐런의 저변확대와 보급으로 중증장애인의 사회적 관계 증진과 스포츠를 통한 사회참여에 기여함."
달구벌슐런클럽,대구광역시,대구광역시 달서구,슐런,,지체(척수 및 절단 및 기타)장애,매주 화,달구벌종합복지관에서 운영하는 달구벌슐런클럽입니다.   슐런에 관심있는 성인장애·비장애인을 모집합니다.
하남데프 슐런클럽,경기도,경기도 하남시,슐런,,청각장애,매주 화요일 오후 1시,
거창다모아슐런,경상남도,경상남도 거창군,슐런,,청각장애,"매주 수, 오후 2시",
인천농인슐런클럽,인천광역시,인천광역시 미추홀구,슐런,,청각장애,"매주토요일 오후1시,3시",
(사)한국어울림슐런협회 강북지회,서울특별시,서울특별시 강북구,슐런,,지체(척수 및 절단 및 기타)장애,매주 월요일~금요일 오후2시,본 (사)한국어울림슐런협회 강북지회는 장애인과 비장애인 남녀노소 구분없이 누구나 함께 어울릴 수 있는 차별없고 평등한 스포츠이기에 새로 생성된 단체 입니다.
2023 전북장애인생활체육 슐런사랑클럽(남원),전라북도,전라북도 남원시,슐런,,청각장애,매주 화 오전10시,
(도비) 2023 한마음슐런클럽,충청북도,충청북도 충주시,슐런,,뇌병변장애,매주 목 오후 2시,누구나 쉽게 생활체육에 참여할 수 있는 환경을 조성함으로써 기분전환이나 성취감을 충족시키고 보람된 일상생활을 만들어가는 한마음 슐런 클럽
happy슐런,대전광역시,대전광역시 서구,슐런,,발달(지적/자폐)장애,"매주 화, 금 오후 4시",성인 장애인을 대상으로 장애인야간학교 에서 운영하는 프로그램
(시비)신체슐런스포츠클럽,충청남도,충청남도 서산시,슐런,,발달(지적/자폐)장애,매주 수요일 3시,
(시비)복지관생활체육슐런클럽,충청남도,충청남도 서산시,슐런,,뇌병변장애,매주 화요일 10시30분,
청각언어장애인 슐런동호회,경상남도,경상남도 통영시,슐런,,청각장애,매주 토요일 오전9시,청각언어장애인들의 친목도모와 건강을 도모하는 슐런동호회 입니다.
아이랑슐런클럽,경기도,경기도 성남시,슐런,,발달(지적/자폐)장애,매주 수 14시,
탐라슐런클럽,제주특별자치도,제주특별자치도 제주시,슐런,,지체(척수 및 절단 및 기타)장애,"매주 월,수,금 오전10시",장애인 비장애인 통합 슐런 어울림 클럽입니다.
부산광역시농아인스포츠연맹슐런클럽,부산광역시,부산광역시 동구,슐런,,청각장애,매주 화 오후 2시,청각장애인과 비장애인 같이 교류하며 슐런 생활체육활동으로 건강을 지켜줍니다.
경기도슐런협회,경기도,경기도 안양시,슐런,,기타장애,매주 월 오전11~16,2018년 슐런협회 인준과 동시 창단 된 장애인 및 비 장애인 어울림 슐런클럽입니다.
금정해오름클럽,부산광역시,부산광역시 금정구,슐런,,기타장애,매주 수요일 오후2시,"금정해오름클럽은 장애, 비장애 상관없이 함께 어울려 스포츠를 즐기는 클럽입니다."
밀농슐런클럽,경상남도,경상남도 밀양시,슐런,,청각장애,매주 화 오후 9시 30분,
DEAF푸쉬,경상남도,경상남도 하동군,슐런,,청각장애,매주 화 오후2시,"청각,언어장애인들의 모임"
합천농아인 슐런클럽,경상남도,경상남도 합천군,슐런,,청각장애,매주 수 오후 1시 30분,슐런클럽을 통해서 농아인들의 치매예방 및 건전한 체육문화 인식함양을 키울수 있는 클럽입니다.
김해장애인슐런클럽,경상남도,경상남도 김해시,슐런,,지체(척수 및 절단 및 기타)장애,"매주 토, 오후 1시 ~ 6시",? 김해장애인슐런클럽은 장애인과 비장애인이 함께하는 통합체육의 토대 마련 하고 신규 장애인 생활체육 참여인구 확       대와 지역 장애인의 생활체육 참여를 통한 건강증진 및 삶의 질 향상 하고 있습니다.
경남장애인슐런동호회,경상남도,경상남도 창원시,슐런,,지체(척수 및 절단 및 기타)장애,매월 수요일 오후 1시~6시,슐런을 통해 장애인과 비장애인이 함께 즐기는 동호회입니다~^^
누리슐런동호인클럽,서울특별시,서울특별시 강서구,슐런,,지체(척수 및 절단 및 기타)장애,매주 화요일 오후 2~4시,
거제시척수장애인슐런클럽,경상남도,경상남도 거제시,슐런,,지체(척수 및 절단 및 기타)장애,매주 금요일 오후2시~4시,거제시척수장애인슐런클럽은 장애인과 비장애인이 함께 어울림 체육을 통해 친목도모를 하고 삶의 질 향상을 위한 동아리입니다.
금나래데프슐런클럽,서울특별시,서울특별시 금천구,슐런,,청각장애,매주 화 오후3시,금나래데프슐런클럽 금천구지회 농인회원 슐런활동합니다.
어울림농인슐런동호회,경상남도,경상남도 창원시성산구,슐런,,청각장애,매주 월요일 오전9시30분,안녕하세요.  어울림농인슐런동호회 입니다.
드림슐런클럽,경상남도,경상남도 창원시진해구,슐런,골프,기타장애,매주 토.일,중증 장애인으로 구성 되어 있습니다.  슐런보드는 북면 장애인골프장 중증장애인쉼터에 있습니다.  관심 있으신분들의 참여 바랍니다.
(기금) 2023 증평슐런클럽,충청북도,충청북도 증평군,슐런,,청각장애,"매주 월,금 10시30분~11시30분",
마산농아인슐런클럽,경상남도,경상남도 창원시,슐런,,청각장애,"매주 화,금 오후 2시",
진농슐런회,경상남도,경상남도 진주시,슐런,,청각장애,매주 수 오후 2시,
(기금)천안시농아인슐런클럽,충청남도,충청남도 천안시,슐런,,청각장애,화/목 13:00~15:00,
(도비)논산시장애인슐런클럽,충청남도,충청남도 논산시,슐런,,청각장애,매주 금 9:30~11:30,안녕하세요 논산시장애인슐런클럽입니다!
(기금)2023 원주시장애인체육회 슐런클럽,강원도,강원도 원주시,슐런,,지체(척수 및 절단 및 기타)장애,"매주 화,목 13시",
손사랑슐런동아리클럽,경상남도,경상남도 창원시진해구,슐런,,청각장애,"매주 수, 금",청각장애인의 어울림 동아리
경산척수어울림슐런클럽,경상북도,경상북도 경산시,슐런,,지체(척수 및 절단 및 기타)장애,매주 금 오후6시,"척수장애인협회 경산시지회 소속 회원 및 보호자로 구성된 어울림 클럽으로 슐런 강사 자격이나 심판 자격증을 소지한 회원, 다년간 슐런 활동을 한 회원, 초보 참여자 등 실력 차가 다양한 회원으로 구성되어 초보자도 쉽게 클럽 활동을 할 수 있는 특징을 가지고 있음"
영스타슐런클럽,경상북도,경상북도 영천시,슐런,,지체(척수 및 절단 및 기타)장애,"매주 화, 오후3시30분",
(도비) 2023 청원슐런어울림동호회,충청북도,충청북도 청주시,슐런,,발달(지적/자폐)장애,매주 금 오후 1시,청주시 청원구 지역의 장애인과 비장애인의 어울림 생활체육 동호회로 슐런경기를 통한 신체와 정신의 함양과 화합을 도모함
새솔슐런클럽,경상남도,경상남도 김해시,슐런,,발달(지적/자폐)장애,매주 수 오후 1시,
거제deaf슐런클럽,경상남도,경상남도 거제시,슐런,,청각장애,매주 금 오후1시30분~,안녕하세요  거제DEAF슐런클럽입니다.  남녀노소 누구나 즐길 수 있는 슐런종목!!  슐런을 배우면서 건강도 찾고 다양한 사람들과 어울리며 재미도 느끼실 분들!! 모두 참여해주세요~^^
진주장애인슐런동호회,경상남도,경상남도 진주시,슐런,,지체(척수 및 절단 및 기타)장애,"매주 화, 목 오후 2시",장애인의 삶을 아름답게 멋지게 살아내는 휠런
아드미슐런동호회,경상남도,경상남도 창원시의창구,슐런,,발달(지적/자폐)장애,매주 수요일 오전 10시~11시20분,아드미슐런동호회
새솔슐런클럽,경상남도,경상남도 김해시,슐런,,발달(지적/자폐)장애,매주 수 오후1시,지적장애인 동호회클럽
