교육종류명,교육명,교육대상명,정원,교육시작일자,교육종료일자,교육장소명,교육비용,교육 설명내용,상세설명내용,신청인원수,접수상태,url,접수기간,운영기간,교육대상전처리
어린이정규,"전시연계 《드로잉, 삶의 철학을 그리다》 전시연계 어린이 프로그램 -나의 생각상자-","유아(2018~2019년생), 초등학생",12,20240616,20240825,"소마미술관 세미나실, 소마미술관 1관전시실",40000,"오리엔테이션(세미나실에서 모임)1관드로잉, 삶의 철학을 그리다 전시감상세미나실에서 표현활동","나의 생각상자

소마미술관 1관에서 진행중인 전시 《드로잉, 삶의 철학을 그리다》의 어린이 전시연계 감상, 표현 프로그램입니다. 

작품을 감상하면서 긴 호흡을 지닌 작품들을 발견하고, 질문하고, 생각하며 작가들이 매일매일을 대하는 시선과 생각을 읽어봅니다.
그리고 천천히 나의 생활에 관심을 가지고 생각하고, 예술을 통해 생각을 그림에 담고, 마음을 읽고 표현해 봅니다.

▷접수마감
6/16
6/29
7/7
7/21 (일)

▶접수중
8/4
10:00~12:00 초등학교 1~2학년

8/18
10:00~12:00 초등학교 1~2학년

8/25
10:00~12:00 초등학교 3~4학년


▶접수방법 
아래 달력에서 수업일 클릭  교육신청 클릭  필수항목 입력

▷접수순서
접수신청(문자안내)  접수대기(수일 소요)  결제안내(★입금금지!!★ 결제선생 카카오톡으로 연락드립니다.)  결제확인  접수완료(수일 소요, 문자안내)",12,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=343=02,6월 4일 화요일 15시부터,6월~8월 첫째 셋째 일요일/ 오전(10:00~12:00) 오후(14:00~16:00),유아
어린이정규,2024 가을학기 드로잉 아카데미 (3~4학년),초등학생 3~4학년,12,20240817,20241214,소마미술관 아카데미 3교육실,400000,2024 가을 ㅣ 이야기로 풀어보는 드로잉2025 봄    ㅣ 형태 관찰2025 가을 ㅣ 색과 질감2026 봄    ㅣ 공간에 대한 이해,"2024년 가을학기에는 이야기로 풀어보는 드로잉를 테마로 하여 조형적 기본 요소에 대한 새로운 구성과 다양한 미술기법을 활용하여 표현해보고, 각각의 조형요소들이 가진 이야기를 찾아 자신만의 개성 있는 표현을 해봅니다.

ㆍ 접수 시 아래 달력에서 희망 반에 해당하는 날짜를 클릭하여 신청바랍니다. 
(예) 1반 수강 희망1반 개강일 선택신청하기1반으로 신청 완료! 

ㆍ 5반 (2,4주차 토요일 10:00~12:00) 8. 24 ~ 12. 14
ㆍ 6반 (2,4주차 토요일 14:00~16:00) 8. 24 ~ 12. 14

ㆍ 접수순서
접수대기결제안내결제확인접수완료

※ 재수강 인원에 따라 신규 수강생 모집 인원은 변경될 수 있습니다.",12,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=347=02,7월 17일 수요일 15시 부터 홈페이지 접수,"4반 8. 17(토) ~ 12. 7(토)  ㅣ 5, 6반 8. 24(토) ~ 12. 14(토)",초등학생
어린이정규,2024 가을학기 드로잉 아카데미 (1~2학년),초등학생 1~2학년,12,20240817,20241214,소마미술관 아카데미 3교육실,400000,2024 가을 ㅣ 이야기로 풀어보는 드로잉2025 봄    ㅣ 형태 관찰2025 가을 ㅣ 색과 질감2026 봄    ㅣ 공간에 대한 이해,"2024년 가을학기에는 이야기로 풀어보는 드로잉를 테마로 하여 조형적 기본 요소에 대한 새로운 구성과 다양한 미술기법을 활용하여 표현해보고, 각각의 조형요소들이 가진 이야기를 찾아 자신만의 개성 있는 표현을 해봅니다.

ㆍ 접수 시 아래 달력에서 희망 반에 해당하는 날짜를 클릭하여 신청바랍니다. 
(예) 1반 수강 희망1반 개강일 선택신청하기1반으로 신청 완료! 

ㆍ 1반 (1,3주차 토요일 14:00~16:00) 8. 17 ~ 12. 7
ㆍ 2반 (2,4주차 토요일 10:00~12:00) 8. 24 ~ 12. 14
ㆍ 3반 (2,4주차 토요일 14:00~16:00) 8. 24 ~ 12. 14

ㆍ 접수순서
접수대기결제안내결제확인접수완료

※ 재수강 인원에 따라 신규 수강생 모집 인원은 변경될 수 있습니다.",12,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=346=02,7월 17일 수요일 15시 부터 홈페이지 접수,"1반 8. 17(토) ~ 12. 7(토)  ㅣ 2, 3반 8. 24(토) ~ 12. 14(토)",초등학생
어린이정규,[온라인] 소마드로잉스쿨 키트 신청(09 손원영 작가),초등학생 부터 권장,200,20231215,20241231,,10000,키트 수령 후 YouTube 소마미술관 채널에서 영상을 보며 활동바랍니다. (https://www.youtube.com/watch?v=LkeUGJ-IWXI),"SOMA Drawing School은 소마드로잉센터의 작가에 대해 알아보고, 현대 드로잉의 확장된 개념을 이해하고 시각예술의 기본 장르인 드로잉에 대해 경험할 수 있는 온라인 교육프로그램입니다. 

ㆍ 09 손원영 작가는 퍼즐을 모티브로 인간이 세상과 만나고 만들어 가는 관계에 대해 탐색하고 표현합니다.

ㆍ 키트구성: 투명 컬러 필름지(PVC), 트레싱지, 배경이미지 출력물, 퍼즐 스티커, 집게, 액자 ※재료의 내용 및 규격은 지정없이 랜덤 발송됩니다. 


ㆍ 접수방법
아래 달력에서 해당 날짜를 클릭하여 신청바랍니다. 
(예) 1반 수강 희망달력에서 월 말일(29, 30, 31 중)선택신청하기 (선택 항목인 ★주소★를 입력해주셔야 키트가 발송됩니다)

ㆍ 접수순서
접수대기결제안내결제확인접수완료


* 재료비 상승으로 부득이하게 키트 신청비가 인상된 점 양해 바랍니다.",200,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=317=02,,소마미술관 홈페이지 선착순 접수,초등학생
어린이정규,[문자 서비스 신청] 초등,초등(개인/단체),제한 없음,20230701,20241231,,0,,"문자서비스 신청 시 확인 사항
　- 서비스 내용 : 초등 대상 프로그램 개설 및 접수 안내 (정규 프로그램(드로잉,조각) 제외)
　- 신청 월부터 1년까지 문자서비스 제공
　　(예) 2019년 3월에 신청한 경우 2020년 2월까지 서비스 제공
　- 수신거부 및 통신 오류 등으로 인한 미수신은 책임지지 않습니다.
   - 2020년 3월부터 정규 어린이 아카데미(드로잉, 조각) 모집 안내 문자는 발송되지 않습니다.

★문자서비스 신청방법★
1. 달력에서 신청달의 1일 클릭
　(예) 3월 26일인 경우 3월 1일 클릭
2. 접수신청 클릭
3. 필수항목 입력 (아래의 신청자명 입력내용 확인바랍니다)
　① 개인 신청자의 경우 : 신청자명 자유롭게 입력
　② 학교단체 신청자의 경우 : 신청자명에 학교단체로 입력
　③ 특수학급 신청자의 경우 : 신청자명에 특수학급으로 입력
　④ 복지단체의 경우 : 신청자명에 복지관 혹은 복지단체로 입력
4. 아래와 같은 문자 수신하면 서비스 신청 완료
　문자서비스 수강신청 되었습니다. 수업 확정 시 접수완료 문자가 발송됩니다.

※ 신청자 휴대폰 기준으로 안내문자가 발송되므로 수강생 인원은 꼭! 1명으로 입력해주세요.
　(★★★자녀 혹은 학교학생들 인원대로 수강생 모두 입력하시면 그 인원수 만큼 신청자분께 중복문자가 발송됩니다.)",1000,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=154=02,,상시,초등학생
어린이정규,2023 초중등단체 우리가 만드는 올림픽레거시,"초등 5~6학년, 중등 1~3학년",20명 내외,20230427,20231123,,0,,"우리가 만드는 올림픽레거시 프로그램 통합 신청접수 페이지로 연결됩니다.
URL",10,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=280=02,3월24일(금) 10:00부터 홈페이지 선착순 접수,1회 단기과정,초등학생
어린이정규,[온라인] 소마드로잉스쿨 키트 신청(N.08 지알원 작가),누구나 참여 가능,30명,20221207,20241231,온라인 진행,5000,,"SOMA Drawing School은 소마드로잉센터의 작가에 대해 알아보고, 현대 드로잉의 확장된 개념을 이해하고 시각예술의 기본 장르인 드로잉에 대해 경험할 수 있는 온라인 교육프로그램입니다. 

▶ N.08 지알원 작가
: 무심히 지나치는 일상의 소소한 이미지들을 캔버스로 옮겨 그래피티아트의 방식을 기반으로 표현하고 소통하는 작가

*키트구성: 그래피티 포스터, 마카(검은색1, 주황색1), A4 인쇄이미지, 투명필름지 
　　　　　※재료의 내용 및 규격은 지정없이 랜덤 발송됩니다. 

★온라인 교육 URL: https://youtu.be/THm1g2zkzMs 

■ 키트 신청 방법 
　① 달력에서 월 말일(29, 30, 31 중)선택
　② 접수신청 클릭 후 빈칸 입력 (★선택 항목인 주소를 꼭! 입력해주셔야 키트가 발송됩니다) 
　③ 결제 안내 문자 수신 후 결제(완료)

　　※ 본 페이지는 키트 신청페이지로 클릭한 날짜에 교육이 진행되는 것이 아닙니다. 
　　※ 주소(선택 항목) 미입력 시 키트 발송 불가합니다. (잘못 입력한 경우 아카데미(02-410-1333)로 전화요망) 
　　※ 정확한 주소 확인 후 결제 안내 문자가 발송됩니다. (수 일 소요)
　　※ 신청 정원 내 수강생 1명당 1키트 발송됩니다.
　　※ 키트는 접수 후 일정 인원 도달 시 일괄 발송됩니다. (수 일 소요)
　　※ 키트 수령 후에는 YouTube 소마미술관 채널에서 영상을 보며 활동바랍니다. (https://www.youtube.com/watch?v=THm1g2zkzMs)
　　",30,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=275=02,수량 소진시까지,상시(온라인),제한없음
공교육연계,"야간특강2 〈드로잉, 삶의 철학을 그리다〉전시연계 프로그램",성인,12,20240716,20240716,소마미술관 1관 5전시실,0,먹을 갈며 명상음악을 들으며 먹을 사용한 표현활동참여자들과 이야기 해보는 시간,"묵, 멍-

강미선 작가 작품이 전시된 5전시실에서 강미선 작가의 예술철학과 작품 설명을 듣고, 먹을 재료로 활용하며 명상을 체험하는 프로그램입니다. (전시관람 미포함)

ㆍ 접수방법 
아래 달력에서 수업일 클릭  교육신청 클릭  필수항목 입력

ㆍ 접수순서 : 접수신청(문자안내)  접수대기(수일 소요)  접수완료(수일 소요, 문자안내)",12,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=345=04,7월 4일 목요일 15시~ 홈페이지 선착순 접수,7월 16일 화요일 19:00~21:00,성인
공교육연계,7월 소마특강 조각가 김세중과 김세중미술관,성인,40,20240731,20240731,소마미술관 세미나실,0,조각가 김세중과 김세중미술관,"우리 미술관에서는 매월 마지막주 수요일 문화가 있는 날 소마특강을 개최합니다.

7월 소마특강은 조각가 김세중과 김세중미술관에 대하여 최태만(국민대학교 미술학부 교수)의 강의가 진행됩니다.

▶접수 방법
* 아래의 달력에서 날짜(7/31) 선택  우측의 접수신청 선택  항목 입력 후 신청
* 특강신청이 확정되면 ★확정문자★가 전송됩니다.
* 특강신청 확정문자는 ★7월 23일★ 부터 순서대로 전송됩니다.",40,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=344=04,7월 3일 수요일 15:00~,7월 31일 수요일 10:00~12:00,성인
공교육연계,6월 소마특강 조각가 권진규의 삶과 예술,성인,40,20240626,20240626,소마미술관 세미나실,0,조각가 권진규의 삶과 예술,"우리 미술관에서는 매월 마지막주 수요일 문화가 있는 날 소마특강을 개최합니다.

6월 소마특강은 조각가 권진규의 삶과 예술에 대하여 허경회(권진규기념사업회 회장)의 강의가 진행됩니다.

▶접수 방법
* 아래의 달력에서 날짜(6/26) 선택  우측의 접수신청 선택  항목 입력 후 신청
* 특강신청이 확정되면 ★확정문자★가 전송됩니다.
* 특강신청 확정문자는 ★6월 18일★ 부터 순서대로 전송됩니다.",40,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=341=04,6월 5일 15시 부터 소마미술관 홈페이지 선착순 접수,6월 26일 수요일 10:00~12:00,성인
공교육연계,실버대상 프로그램 5월 소마와 함께 걸어요,65세 이상,12,20240501,20240531,"소마미술관 아카데미 혹은 세미나실, 서울올림픽조각공원",0,서울올림픽조각공원 작품 관람(6점)감상 활동지 사용조각작품 열쇠고리 제작,"소마와 함게 걸어요는 65세 이상 노인 대상 프로그램입니다.

소마와 함께 걸어요는 올림픽 조각공원을 산책하면서 삶의 희로애락, 경험을 추억할 수 있는 주제의 조각작품을 감상하고, 인생의 한 단면을 회고하는 시간을 가지며 마음의 안정과 평화를 찾아가는 노인 대상 힐링 프로그램입니다.

조각 설명과 함께 조각공원을 감상하고, 나만의 조각 키링을 만들어보아요.

- 접수방법
*달력에서 해당일(주황색) 선택 후 신청  접수대기  접수확정, 안내문자
*수업 전 [확정문자]가 전송됩니다. [확정문자]를 받으셔야 신청이 완료됩니다.
*[확정문자]는 5월 0일에 순차적으로 전송됩니다.",12,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=336=04,소마미술관 홈페이지 선착순 접수,"5월 17, 24, 31일 금요일 / 14:00~16:00",노인
공교육연계,5월 소마특강영상미술의 정의와 범위 그리고 감상,일반 성인,60,20180530,20180530,소마미술관 세미나실,0,,"5월 소마특강 영상미술의 정의와 범위 그리고 감상은 1960년대 말부터 다양한 실험을 통해 그 영역을 확대해온 영상미술, 흔히 얘기하는 비디오 아트의 개략적 설명과 함께 몇몇 대표적 사례들을 소개하는 프로그램입니다. 이를 통해 전시장에서 여전히 생소하게 다가오는 영상미술에 관한 다각적인 이해를 도울 수 있습니다.

※ 강사정보 및 강의 개요는 첨부파일 확인바랍니다.",60,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=103=04,,5월 문화가 있는 날,성인
공교육연계,조각 투어(다양한 표현의 조각 작품),성인,20,20230926,20230926,소마미술관 1관 출구  조형물 앞,0,,"2023년 올림픽조각공원 조각투어에 여러분을 초대합니다.

다양한 표현의 조각 작품은 재료와 표현방법을 중심으로
소마미술관의 전문 조각 해설가와 조각작품 7점을 감상합니다.
감상자가 주체적으로 작품을 감상할수 있도록 대화 중심 활동으로 진행됩니다. 


* 수업일
9.26 접수중


*달력에서 선택",20,접수마감,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=312=04,선착순 마감,10:30~11:30,성인
