name,type,address,phone,big,normal,small,longitude,latitude
봉산3리 889,간이운동장,,054-420-7928,경상북도,김천시,,,
산23-3번지(돌산공원 내),간이운동장,부산광역시 남구 돌산1길 27 (문현동),051-607-4372,부산광역시,남구,문현동,129.0708258,35.14783022
산청군 산청읍 모고리 (모고마을) 운동기구,간이운동장,경상남도 산청군 산청읍 친환경로2842번길 37,055-970-6414,경상남도,산청군,모고리,127.8885302,35.43075592
산청군 산청읍 범학리 (범학마을) 운동기구,간이운동장,경상남도 산청군 산청읍 범학길 100,055-970-6414,경상남도,산청군,범학리,127.9139294,35.38913971
산청군 산청읍 산청리 (청호마을)운동기구,간이운동장,경상남도 산청군 산청읍 친환경로 2678,,경상남도,산청군,산청리,127.877755,35.41684678
산청군 오부면 방곡리 260(금곡마을)운동기구,간이운동장,경상남도 산청군 오부면 금곡길 107,055-970-6414,경상남도,산청군,방곡리,127.8876363,35.46047593
상금리  651-1,간이운동장,,054-420-8028,경상북도,김천시,,,
상금리  651-1번지,간이운동장,,054-420-7928,경상북도,김천시,,,
서부리 672-10 (서부리 마을회관앞),간이운동장,,054-420-7959,경상북도,김천시,,,
성당뒤,간이운동장,,054-420-8092,경상북도,김천시,,,
수도사업소 입구,간이운동장,경북 안동시 용상동 440-9,054-840-4781,경상북도,안동시,,128.7675696,36.55215363
수철마을(마을회관 옆) 운동기구,간이운동장,경상남도 산청군 금서면 친환경로2211번길 85-3,055-970-6414,경상남도,산청군,수철리,127.826368,35.40468139
신리 봉계초등학교 (강당뒤),간이운동장,,054-420-7928,경상북도,김천시,,,
신리 봉계초등학교 (강당뒤),간이운동장,,054-420-8031,경상북도,김천시,,,
신안2리  회관뒤 (소공원),간이운동장,,054-420-8081,경상북도,김천시,,,
신암1리 ( 마을회관 옆)),간이운동장,,054-420-7928,경상북도,김천시,,,
신암1리 ( 마을회관 옆)),간이운동장,,054-420-8032,경상북도,김천시,,,
아침도시공원 야외운동기구,간이운동장,경북 문경시 모전동 953-4,,경상북도,문경시,모전동,128.1888242,36.59677931
양각길 427 (마을회관 내 외),간이운동장,,054-420-7928,경상북도,김천시,,,
어룡동 소촌마을 동네체육시설,간이운동장,광주광역시 광산구 소촌동 461-3,,광주광역시,광산구,,126.7944614,35.14543988
여배2리 372-2,간이운동장,,054-420-7928,경상북도,김천시,,,
여중2공원 야외운동기구,간이운동장,경상북도 문경시 반쟁이3길 29 (모전동),,경상북도,문경시,모전동,128.1894485,36.59406261
연봉길 186 (봉천1리 회관내),간이운동장,,054-420-7928,경상북도,김천시,,,
예지리(봉계3길42-5)봉암서당앞,간이운동장,,054-420-7928,경상북도,김천시,,,
월계2길 128 (마을회관내),간이운동장,,054-420-7928,경상북도,김천시,,,
의2리 마을쉼터 (공쌍),간이운동장,,054-420-7928,경상북도,김천시,,,
의2리 마을쉼터 (공쌍),간이운동장,,054-420-8048,경상북도,김천시,,,
이동운동장족구장,기타시설,경상남도 창원시 진해구 이동로2번길 8 (이동),,경상남도,창원시,이동,128.6915811,35.15098153
인4리 소공원 (황소),간이운동장,,054-420-7928,경상북도,김천시,,,
인4리 소공원 (황소),간이운동장,,054-420-8047,경상북도,김천시,,,
인의2리 마을회관앞 (직동입구),간이운동장,,054-420-8029,경상북도,김천시,,,
인의2리 마을회관앞 (직동입구),간이운동장,,054-420-7928,경상북도,김천시,,,
장미공원 야외운동기구,간이운동장,경북 문경시 모전동 865-4,,경상북도,문경시,모전동,128.1892313,36.58543957
제석1길 46-16( 692-1번지),간이운동장,,054-420-7928,경상북도,김천시,,,
제일공원 야외운동기구,간이운동장,경상북도 문경시 매봉2길 15-12 (모전동),,경상북도,문경시,모전동,128.183823,36.58600162
차탄리 노인회관 뒤,간이운동장,경기도 연천군 연천읍 차현로 92,031-839-2145,경기도,연천군,차탄리,127.0768135,38.09940423
태촌2리 소공원 (연못옆),간이운동장,경상북도 김천시 감문면 성촌1길 98,054-420-7931,경상북도,김천시,태촌리,128.2236028,36.20062246
태촌리 3리 배시내소공원,간이운동장,,054-420-7929,경상북도,김천시,,,
터골마을 덕촌3리,간이운동장,,054-420-7961,경상북도,김천시,,,
화전4길295-6  477-91(광신원),간이운동장,,054-420-7928,경상북도,김천시,,,
(갈지리)삼성마을,간이운동장,경상북도 청도군 금천면 삼성길 15,,경상북도,청도군,갈지리,128.8585447,35.74542597
(게이트볼장-03) 선리,전천후게이트볼장,경남 양산시 원동면 선리 1489,,경상남도,양산시,선리,128.9853464,35.48671358
(게이트볼장-04) 원리,전천후게이트볼장,경상남도 양산시 원동면 원동마을길 65,,경상남도,양산시,원리,128.9175642,35.3672067
(게이트볼장-05) 범서,전천후게이트볼장,경상남도 양산시 원동면 원동로 804,,경상남도,양산시,서룡리,128.9602497,35.34312093
(게이트볼장-07) 삼감,전천후게이트볼장,경남 양산시 하북면 삼감리 470-3,,경상남도,양산시,삼감리,129.0713405,35.4514708
(게이트볼장-08) 어곡주민공원,전천후게이트볼장,경상남도 양산시 학동길 45(어곡동),,경상남도,양산시,어곡동,129.0269939,35.37771496
(게이트볼장-09) 교동,전천후게이트볼장,경상남도 양산시 충렬로 27(교동),,경상남도,양산시,교동,129.0284638,35.34741689
(게이트볼장-10) 남부빗물펌프장,전천후게이트볼장,경상남도 양산시 강변로 320(남부동),,경상남도,양산시,남부동,127.265434,36.49787653
(게이트볼장-11) 서창,전천후게이트볼장,경남 양산시 삼호동 823-2,,경상남도,양산시,삼호동,129.1820248,35.41149933
(게이트볼장-13) 평산,전천후게이트볼장,경남 양산시 평산동 74-2,,경상남도,양산시,평산동,129.1530306,35.38322366
(게이트볼장-14) 웅상,전천후게이트볼장,경남 양산시 덕계동 811-51,,경상남도,양산시,덕계동,129.1571949,35.3854033
(게이트볼장-15) 제26호 완충녹지,전천후게이트볼장,경남 양산시 남부동 888,,경상남도,양산시,남부동,129.0229968,35.33203174
(게이트볼장-16) 마로니에어린이공원,전천후게이트볼장,경남 양산시 북정동 912-1,,경상남도,양산시,북정동,129.0411576,35.35612972
(게이트볼장-17) 범어근린공원,전천후게이트볼장,경상남도 양산시 물금읍 서남5길 33-1,,경상남도,양산시,범어리,129.000294,35.32967502
(게이트볼장-18) 제43호 완충녹지,전천후게이트볼장,경남 양산시 물금읍 범어리 2818,,경상남도,양산시,범어리,129.020424,35.33212137
(게이트볼장-19) 동새들천 근린공원,전천후게이트볼장,경상남도 양산시 물금읍 신주1길 51,,경상남도,양산시,범어리,129.0183901,35.33747104
(게이트볼장-20) 새터어린이공원,전천후게이트볼장,경상남도 양산시 물금읍 가촌서7길 19,,경상남도,양산시,가촌리,128.9918013,35.32028649
(게이트볼장-21) 해강어린이공원,전천후게이트볼장,경상남도 양산시 동면 석산6길 13,,경상남도,양산시,석산리,129.0309876,35.31534843
(공원 시설- 동부마을 공원)미상-하북) 하북 순지 동네체육시설(7),간이운동장,경상남도 양산시 하북면 통도3길 10,,경상남도,양산시,순지리,129.0881099,35.4935491
(공원)아파트내,간이운동장,,054-420-8044,경상북도,김천시,,,
(공원-001) 범어근린공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 서남5길 33-1,055-392-7016,경상남도,양산시,범어리,129.000294,35.32967502
(공원-02) 음악분수공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 메기로 399,,경상남도,양산시,범어리,129.0180791,35.32764129
(공원-03) 워터파크 야외운동시설,간이운동장,경상남도 양산시 물금읍 신주2길 25,,경상남도,양산시,범어리,129.0210818,35.33717733
(공원-04) 동새들천공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 신주1길 51,,경상남도,양산시,범어리,129.0183901,35.33747104
(공원-05) 디자인공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 부산대학로 16,,경상남도,양산시,가촌리,129.0007546,35.32470358
(공원-06) 구두공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 가촌리  1321,,경상남도,양산시,가촌리,129.0024778,35.30992877
(공원-066) 서일동어린이공원 야외운동시설,간이운동장,경남 양산시 중부동 604-1,,경상남도,양산시,중부동,129.035451,35.34048278
(공원-07) 증산역공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 메기로 118,,경상남도,양산시,증산리,129.0095429,35.30386131
(공원-08) 물금남부공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 물금리  897,,경상남도,양산시,물금리,128.9941444,35.30739136
(공원-09) 신기공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 가촌리  1272,,경상남도,양산시,가촌리,128.995663,35.31434358
(공원-10) 메기들공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 가촌리  1283,,경상남도,양산시,가촌리,129.0077235,35.31252863
(공원-100) 하북주민쉼터 야외운동시설,간이운동장,경상남도 양산시 하북면 순지리  166,,경상남도,양산시,순지리,129.0897625,35.49163986
(공원-101) 초산리 도로변 공한지 야외운동시설,간이운동장,경상남도 양산시 하북면 초산리  322,,경상남도,양산시,초산리,129.0872201,35.48294956
(공원-102) 가산리 도로변 공한지 야외운동시설,간이운동장,경상남도 양산시 동면 호포새동네길 5,,경상남도,양산시,가산리,129.0166975,35.28658729
(공원-11) 수학체험공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 범어리  2768,,경상남도,양산시,범어리,129.0070815,35.31906525
(공원-12) 봉수대공원 야외운동시설,간이운동장,경상남도 양산시 상북면 석계산단1길 86,,경상남도,양산시,석계리,129.0705343,35.41438048
(공원-13) 금산근린공원 야외운동시서,간이운동장,경상남도 양산시 동면 금오1길 8,,경상남도,양산시,금산리,129.026129,35.30857737
(공원-14) 석산근린공원 야외운동시설,간이운동장,경상남도 양산시 동면 금오13길 46-26,,경상남도,양산시,석산리,129.0255272,35.32073421
(공원-15) 삽량근린공원 야외운동시설,간이운동장,경상남도 양산시 양주로 77(남부동),,경상남도,양산시,남부동,129.0311347,35.33201743
(공원-16) 양주근린공원 야외운동시설,간이운동장,경상남도 양산시 양주3길 36(중부동),,경상남도,양산시,중부동,129.0327859,35.34202877
(공원-17) 북정근린공원 야외운동시설,간이운동장,경상남도 양산시 북정로 129(북정동),,경상남도,양산시,북정동,129.0498922,35.36322077
(공원-18) 부부총공원 야외운동시설,간이운동장,경상남도 양산시 북정동   48,,경상남도,양산시,북정동,129.0540627,35.35625199
(공원-19) 산막근린공원 야외운동시설,간이운동장,경상남도 양산시 산막공단북9길 60-42(산막동),,경상남도,양산시,산막동,129.064856,35.37413682
(공원-20) 범실근린공원 야외운동시설,간이운동장,경상남도 양산시 호계동   1118,,경상남도,양산시,호계동,129.0677285,35.36648969
(공원-21) 어곡근로자근린공원 야외운동시설,간이운동장,경상남도 양산시 어곡동   865,,경상남도,양산시,어곡동,129.021791,35.37925012
(공원-22) 어곡산업단지근린공원 야외운동시설,간이운동장,경상남도 양산시 어곡공단3길 50(어곡동),,경상남도,양산시,어곡동,129.0162893,35.37975166
(공원-23) 춘추공원 야외운동시설,간이운동장,경상남도 양산시 교동   24,,경상남도,양산시,교동,129.0201987,35.35596277
(공원-24) 오봉산어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 범어리  502,,경상남도,양산시,범어리,129.0070101,35.33480421
(공원-25) 주산지어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 범어리  506,,경상남도,양산시,범어리,129.0028311,35.33520832
(공원-26) 범어어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 범어리  672,,경상남도,양산시,범어리,129.0015553,35.33251366
(공원-27) 신동중어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 범어리  532,,경상남도,양산시,범어리,128.9985142,35.33175557
(공원-28) 서남어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 범어리  630,,경상남도,양산시,범어리,128.9977612,35.32851874
(공원-29) 가촌신기어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 가촌리  527,,경상남도,양산시,가촌리,128.9933979,35.32006922
(공원-30) 새터어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 가촌서7길 19,,경상남도,양산시,가촌리,128.9918013,35.32028649
(공원-31) 가촌어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 가촌리  708,,경상남도,양산시,가촌리,128.993852,35.3233576
(공원-32) 새싹어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 범어리  2676,,경상남도,양산시,범어리,129.0136005,35.33270007
(공원-33) 범어황산어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 범어리  2679,,경상남도,양산시,범어리,129.0102221,35.33053246
(공원-34) 남양산어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 범어리  2722,,경상남도,양산시,범어리,129.0165462,35.3244833
(공원-35) 야리공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 범어리  2779,,경상남도,양산시,범어리,129.0089275,35.31629463
(공원-36) 오래뜰어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 증산리  1747,,경상남도,양산시,증산리,129.0064603,35.30803925
(공원-37) 통새미공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 가촌리  1248,,경상남도,양산시,가촌리,128.9968387,35.32045633
(공원-38) 새솔어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 증산리  1758,,경상남도,양산시,증산리,129.0044634,35.30615382
(공원-39) 새실공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 가촌리  1277,,경상남도,양산시,가촌리,128.9987028,35.31253196
(공원-40) 물금동부공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 물금리  890,,경상남도,양산시,물금리,128.9907931,35.30993352
(공원-41) 물금중부공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 물금리  883,,경상남도,양산시,물금리,128.9895456,35.30716417
(공원-42) 잎새어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 범어리  2787,,경상남도,양산시,범어리,129.016886,35.33930989
(공원-43) 다솜어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 증산리  1817,,경상남도,양산시,증산리,129.0079911,35.30715287
(공원-44) 가람뜰어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 증산리  1808,,경상남도,양산시,증산리,129.0084213,35.304225
(공원-46) 해강어린이공원 야외운동시설,간이운동장,경상남도 양산시 동면 석산6길 13,,경상남도,양산시,석산리,129.0309876,35.31534843
(공원-47) 한신어린이공원 야외운동시설,간이운동장,경남 양산시 동면 석산리 517,,경상남도,양산시,석산리,129.031629,35.31310281
(공원-48) 은행나무어린이공원 야외운동시설,간이운동장,경상남도 양산시 동면 금산5길 48-8,,경상남도,양산시,금산리,129.0290014,35.30915369
(공원-49) 금산날뜰어린이공원 야외운동시설,간이운동장,경남 양산시 동면 금산리 585-1,,경상남도,양산시,금산리,129.028045,35.3069977
(공원-50) 목련어린이공원 야외운동시설,간이운동장,경상남도 양산시 동면 금산리  850,,경상남도,양산시,금산리,129.0264219,35.30066776
(공원-51) 금산어린이공원 야외운동시설,간이운동장,경상남도 양산시 동면 금산리  1417,,경상남도,양산시,금산리,129.0228347,35.31240322
(공원-52) 금산들어린이공원 야외운동시설,간이운동장,경상남도 양산시 동면 금산리  1431,,경상남도,양산시,금산리,129.0266152,35.31214056
(공원-53) 석금산어린이공원 야외운동시설,간이운동장,경상남도 양산시 동면 석산리  1448,,경상남도,양산시,석산리,129.0278586,35.31808503
(공원-54) 석산경변어린이공원 야외운동시설,간이운동장,경남 양산시 동면 석산리 1447-2,,경상남도,양산시,석산리,129.0243046,35.32345075
(공원-55) 꿈샘어린이공원 야외운동시설,간이운동장,경상남도 양산시 상북면 석계리  237,,경상남도,양산시,석계리,129.0593311,35.41600201
(공원-56) 여울어린이공원 야외운동시설,간이운동장,경남 양산시 상북면 석계리 245-4,,경상남도,양산시,석계리,129.0571374,35.41328213
(공원-57) 대석어린이공원 야외운동시설,간이운동장,경상남도 양산시 상북면 대석리  808,,경상남도,양산시,대석리,129.0531763,35.39167239
(공원-58) 북부마을공원 야외운동시설,간이운동장,경상남도 양산시 하북면 신평7길 17,,경상남도,양산시,순지리,129.0851777,35.4941223
(공원-59) 초산어린이공원 야외운동시설,간이운동장,경상남도 양산시 하북면 초산리  299,,경상남도,양산시,초산리,129.088599,35.48411742
(공원-60) 남부어린이공원 야외운동시설,간이운동장,경상남도 양산시 남부동   608,,경상남도,양산시,남부동,129.0261413,35.33149577
(공원-61) 황산어린이공원 야외운동시설,간이운동장,경상남도 양산시 중부동   697,,경상남도,양산시,중부동,129.0328638,35.33642379
(공원-62) 중앙어린이공원 야외운동시설,간이운동장,경상남도 양산시 양주3길 1(중부동),,경상남도,양산시,중부동,129.0317474,35.34010608
(공원-63) 옹기골공원 야외운동시설,간이운동장,경상남도 양산시 남부동   461,,경상남도,양산시,남부동,129.0371364,35.33907897
(공원-64) 옥곡어린이공원 야외운동시설,간이운동장,경상남도 양산시 옥곡2길 8(남부동),,경상남도,양산시,남부동,129.0365737,35.33593409
(공원-65) 신북안어린이공원 야외운동시설,간이운동장,경남 양산시 북부동 486-2,,경상남도,양산시,북부동,129.0382375,35.34581662
(공원-67) 희망어린이공원 야외운동시설,간이운동장,경상남도 양산시 북부동   264,,경상남도,양산시,북부동,129.0435467,35.34713182
(공원-68) 산막어린이공원 야외운동시설,간이운동장,경상남도 양산시 산막동   309,,경상남도,양산시,산막동,129.050219,35.37081703
(공원-69) 빛길어린이공원 야외운동시설,간이운동장,경상남도 양산시 신기동   133,,경상남도,양산시,신기동,129.0477538,35.35404325
(공원-70) 빛솔어린이공원 야외운동시설,간이운동장,경상남도 양산시 신기동   118,,경상남도,양산시,신기동,129.0476685,35.35539064
(공원-71) 서중동어린이공원 야외운동시설,간이운동장,경상남도 양산시 신기동   508,,경상남도,양산시,신기동,129.0397167,35.35517308
(공원-72) 중동어린이공원 야외운동시설,간이운동장,경상남도 양산시 신기동   508,,경상남도,양산시,신기동,129.0393054,35.35274793
(공원-73) 한마음어린이공원 야외운동시설,간이운동장,경상남도 양산시 신기동   511,,경상남도,양산시,신기동,129.0399256,35.35156922
(공원-74) 못안어린이공원 야외운동시설,간이운동장,경상남도 양산시 북정16길 9(북정동),,경상남도,양산시,북정동,129.0485404,35.36465263
(공원-75) 삼성어린이공원 야외운동시설,간이운동장,경상남도 양산시 북정동   532,,경상남도,양산시,북정동,129.0486306,35.36139087
(공원-76) 중각단어린이공원 야외운동시설,간이운동장,경상남도 양산시 북정3길 9(북정동),,경상남도,양산시,북정동,129.0480182,35.35954752
(공원-77) 신기당산공원 야외운동시설,간이운동장,경상남도 양산시 북정동   907,,경상남도,양산시,북정동,129.0437331,35.35594488
(공원-78) 느티나무어린이공원 야외운동시설,간이운동장,경남 양산시 북정동 895-3,,경상남도,양산시,북정동,129.0424619,35.35794619
(공원-79) 느티나무어린이공원 야외운동시설,간이운동장,경상남도 양산시 북정동   895,,경상남도,양산시,북정동,129.0424619,35.35794619
(공원-80) 어울린공원 야외운동시설,간이운동장,경상남도 양산시 신기동   648,,경상남도,양산시,신기동,129.0366481,35.35284809
(공원-81) 새로미공원 야외운동시설,간이운동장,경상남도 양산시 신기동   645,,경상남도,양산시,신기동,129.0377244,35.35577298
(공원-82) 교동어린이공원 야외운동기구,간이운동장,경상남도 양산시 교동   602,,경상남도,양산시,교동,129.0198854,35.34801424
(공원-83) 교동어린이공원 야외운동시설,간이운동장,경상남도 양산시 교동   594,,경상남도,양산시,교동,129.0197601,35.34771022
(공원-84) 물금서부마을소공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 물금리  774,,경상남도,양산시,물금리,128.9816349,35.30853355
(공원-85) 시설명 미상,간이운동장,경상남도 양산시 어곡동   909,,경상남도,양산시,어곡동,129.0239628,35.37838767
(공원-87) 완충녹지 13호 야외운동시설,간이운동장,경상남도 양산시 북정동   884,,경상남도,양산시,북정동,129.0428851,35.36082132
(공원-88) 완충녹지 29호 야외운동시설,간이운동장,경남 양산시 남부동 904,,경상남도,양산시,남부동,129.0343085,35.33192827
(공원-89) 금산리 완충녹지 야외운동시설,간이운동장,경상남도 양산시 동면 금산리  1499,,경상남도,양산시,금산리,129.0222276,35.30870866
(공원-90) 완충녹지 49호 야외운동시설,간이운동장,경남 양산시 동면 석산리 1528,,경상남도,양산시,석산리,129.0216642,35.32169832
(공원-91) 금오누리길 야외운동시설,간이운동장,경상남도 양산시 동면 석산리  1483,,경상남도,양산시,석산리,129.0294857,35.32041413
(공원-92) 완충녹지 31호 야외운동시설,간이운동장,경상남도 양산시 남부동  강변로 355,,경상남도,양산시,남부동,129.0229968,35.33203174
(공원-93) 완충녹지 971호 야외운동시설,간이운동장,경상남도 양산시 중부동   711,,경상남도,양산시,중부동,129.0276207,35.34078006
(공원-94) 완충녹지 426호 야외운동시설,간이운동장,경상남도 양산시 물금읍 범어리  2818,,경상남도,양산시,범어리,129.020424,35.33212137
(공원-95) 완충녹지 55호 야외운동시설,간이운동장,경상남도 양산시 동면 석산리  1532,,경상남도,양산시,석산리,129.0214573,35.3166531
(공원-96) 시청사공원 야외운동시설,간이운동장,경상남도 양산시 중앙로 39(남부동),,경상남도,양산시,남부동,129.0381174,35.33512506
(공원-97) 두전마을소공원 야외운동시설,간이운동장,경상남도 양산시 두전길 40(어곡동),,경상남도,양산시,어곡동,129.0271838,35.38253332
(공원-98) 양주폐소류지주민쉼터 야외운동시설,간이운동장,경상남도 양산시 상북면 석계리  66,,경상남도,양산시,석계리,129.0643021,35.41516909
(공원-99) 양주마을공원 야외운동시설,간이운동장,경상남도 양산시 상북면 양주마을1길 52,,경상남도,양산시,석계리,129.0668562,35.41253221
(광천2리 광동마을),간이운동장,,054-420-8038,경상북도,김천시,,,
(교동-82) 교동어린이공원 야외운동시설,간이운동장,경상남도 양산시 교동   602,,경상남도,양산시,교동,129.0198854,35.34801424
(교육체육과-01) 명곡마을 야외운동시설,간이운동장,경남 양산시 명곡동 568,,경상남도,양산시,명곡동,129.0754397,35.34581124
(교육체육과-02) 서북안마을 야외운동시설,간이운동장,경남 양산시 북부동 500-4,,경상남도,양산시,북부동,129.035156,35.34915584
(교육체육과-03) 다방마을 야외운동시설,간이운동장,경상남도 양산시 안다방길 34-1(다방동),,경상남도,양산시,다방동,129.0433451,35.33343112
(교육체육과-04) 금촌마을 야외운동시설,간이운동장,경남 양산시 다방동 580-10,,경상남도,양산시,다방동,129.0410633,35.33126765
(교육체육과-05) 성북안마을 야외운동시설,간이운동장,"경상남도 양산시 북안북7길 36(북부동, 양산북부주공아파트)",,경상남도,양산시,북부동,129.0423863,35.34985306
(교육체육과-06) 상신기마을 야외운동시설,간이운동장,경남 양산시 신기동 151,,경상남도,양산시,신기동,129.0451517,35.3553437
(교육체육과-07) 유산마을 야외운동시설,간이운동장,경남 양산시 어곡동 134-6,055-392-7411,경상남도,양산시,어곡동,129.0295157,35.37653322
(구)공무원교육원,간이운동장,경상북도 경주시 감포읍 전동리 감포로 47,,경상북도,경주시,,129.498385,35.799514
(구)군수관사 옆 옥천여중 후문 맞은편,간이운동장,충청북도 옥천군 옥천읍 문정1길 13,043-730-4884,충청북도,옥천군,문정리,127.5731592,36.30482279
(구)다례마을 체육시설,간이운동장,경상남도 밀양시 무안면 가례2길 1,,경상남도,밀양시,가례리,128.5978222,35.48879162
(구)대곡분교장 운동장,간이운동장,,054-840-4461,경상북도,안동시,,,
(구)모로마을 체육시설,간이운동장,경상남도 밀양시 무안면 모로길 58,,경상남도,밀양시,모로리,128.6455639,35.46239456
(구)무안고 체육관,체육관,전라남도 무안군 무안읍 교촌길 50,,전라남도,무안군,교촌리,126.4675254,34.98840053
(구)상공회의소 주차장,간이운동장,,033-660-3833,강원특별자치도,강릉시,,,
(구)생연배수지 동네체육시설,간이운동장,경기도 동두천시 정장로 135-32 (생연동),031-860-2144,경기도,동두천시,생연동,127.062039,37.90585739
(구)성화대 골프연습장,골프연습장,전라남도 강진군 성전면 송계로 897-10,,전라남도,강진군,월평리,126.7072266,34.68897451
(구)야수교내야구장,야구장,강원특별자치도 홍천군 홍천읍 결운리  11,033-430-2453,강원특별자치도,홍천군,결운리,127.9316592,37.72814156
(구)영호초등학교,간이운동장,,054-840-4811,경상북도,안동시,,,
(구)태화사옆 체육시설,간이운동장,경상남도 통영시 명정동   54,,경상남도,통영시,,128.415137,34.847189
(구)함태초등학교체육관,체육관,,,강원특별자치도,태백시,,,
(국국장-01) 춘추정,국궁장,경상남도 양산시 유산공단1길 51(교동),,경상남도,양산시,교동,129.0253016,35.3504511
(국궁장-02) 회야정,국궁장,경상남도 양산시 배움터길 60-19(평산동),,경상남도,양산시,평산동,129.1428238,35.37694319
(금포마을),간이운동장,경상북도 김천시 증산면 동안리  52,054-420-8110,경상북도,김천시,동안리,128.0265448,35.91065349
(김전1리)영골숲,간이운동장,경상북도 청도군 금천면 김전1길 31,,경상북도,청도군,김전리,128.8670124,35.73333516
(김전2리)공원,간이운동장,경북 청도군 금천면 김전리 495-2,,경상북도,청도군,김전리,128.851824,35.73416109
(김전2리)정자옆 김전리 580,간이운동장,경북 청도군 금천면 김전리 580,,경상북도,청도군,김전리,128.8467405,35.73548378
