name,type,address,phone,agencyPhone,big,normal,small,disabilityFriendly
상록수당구장,당구장업,경기도 안산시 상록구 용신로 381 (본오동) ,,,경기도,안산시,본오동,FALSE
서부리 672-10 (서부리 마을회관앞),간이운동장, ,,054-420-7959,경상북도,김천시,,FALSE
서진당구장,당구장업,경기도 성남시 수정구 공원로445번길 5 (태평동) 2층,031-758-4464,,경기도,성남시,태평동,FALSE
석호창조태권도장,체육도장업,경기도 안산시 상록구 네고지2길 20 (사동) ,031-408-9596,408-9596,경기도,안산시,,FALSE
선부태권도장,체육도장업,"경기도 안산시 단원구 선부광장서로1길 5, 바동 201, 202호 (선부동, 동국연립) ",,,경기도,안산시,,FALSE
성포검도관,체육도장업,경기도 안산시 상록구 예술광장로 1 (월피동) ,031-403-3399,,경기도,안산시,,FALSE
세종태권도장체육관,체육도장업,"경기도 안산시 단원구 선이로 14 (선부동,안산종합시장 2001,2002,2014호) ",031-480-7928,031-480-7928,경기도,안산시,,FALSE
센스당구장,당구장업, ,031-405-6492,,경기도,안산시,,FALSE
수도사업소 입구,간이운동장,경북 안동시 용상동 440-9 ,054-840-4781,054-840-5506,경상북도,안동시,,FALSE
스포밸리,체력단련장업,"경기도 안산시 단원구 광덕대로 168 (고잔동,신화타운6층) (고잔동,신화타운6층)",031-487-5050,,경기도,안산시,,FALSE
승리태권도장,체육도장업,경기도 안산시 상록구 평안로2길 11 (사동) ,,,경기도,안산시,사동,FALSE
신리 봉계초등학교 (강당뒤),간이운동장, ,,054-420-8031,경상북도,김천시,,FALSE
신안2리  회관뒤 (소공원),간이운동장, ,,054-420-8081,경상북도,김천시,,FALSE
신안유도체육관,체육도장업,경기도 안산시 단원구 선부광장로 17 (선부동) 다이아몬드빌딩 3층 301호 (선부동),,,경기도,안산시,선부동,FALSE
신암1리 ( 마을회관 옆)),간이운동장, ,,054-420-8032,경상북도,김천시,,FALSE
신호동체육관,체육도장업, ,,,경기도,안산시,,FALSE
쎄븐당구장,당구장업,"경기도 안산시 상록구 본오로 60, 3층 (본오동) ",031-416-3132,,경기도,안산시,,FALSE
아침도시공원 야외운동기구,간이운동장,경북 문경시 모전동 953-4 ,054-550-8884,054-550-6717,경상북도,문경시,모전동,FALSE
아트당구클럽,당구장업,"경기도 안산시 상록구 광덕산안길 14, 2층 (월피동) ",031-480-3535,,경기도,안산시,,FALSE
안산제일복싱체육관,체육도장업,"경기도 안산시 단원구 중앙대로 907, 3동 206호 (고잔동,안산종합상가) ",031-414-4646,405-4360,경기도,안산시,,FALSE
양지태권도장,체육도장업,경기도 성남시 수정구 수정남로152번길 1 (신흥동) ,031-745-9977,,경기도,성남시,,FALSE
어룡동 소촌마을 동네체육시설,간이운동장,광주광역시 광산구 소촌동 461-3 ,062-960-9923,062-960-8721,광주광역시,광산구,,FALSE
여주검도관,체육도장업,여주시 청심로 191 ,031-886-5640,,경기도,여주시,,FALSE
여중2공원 야외운동기구,간이운동장,경상북도 문경시 반쟁이3길 29 (모전동) ,054-550-8884,054-550-6717,경상북도,문경시,모전동,FALSE
연세대태권도,체육도장업,경기도 안산시 단원구 광덕서로 15 (고잔동) ,031-405-8554,,경기도,안산시,고잔동,FALSE
열린헬스크리닉,체력단련장업,"경기도 안산시 단원구 고잔1길 17 (고잔동,대유빌딩 303호) ",031-439-5677,,경기도,안산시,,FALSE
올림픽태권도장,체육도장업,"경기도 안산시 상록구 세류로3길 29, 3층 (본오동) ",,417-8886,경기도,안산시,,FALSE
용인대양지태권도장,체육도장업,"경기도 안산시 단원구 광덕동로 26, 2층 (고잔동, 그랜드월드상가) ",031-414-1818,,경기도,안산시,,FALSE
용인대올림픽태권도,체육도장업,경기도 안산시 상록구 감골1로 37 (사동) ,031-407-3987,,경기도,안산시,사동,FALSE
용인대초당태권도,체육도장업,"경기도 안산시 상록구 초당로 24, 2층 (사동) ",,,경기도,안산시,,FALSE
우리동네휘트니스,체력단련장업, ,,,경기도,안산시,,FALSE
월광우슈체육관,체육도장업,"경기도 이천시 이섭대천로1177번길12 (중리동,경기동부과수농협이천지소) ",031-637-6432,,경기도,이천시,,FALSE
월드당구장,당구장업,"경기도 성남시 수정구 성남대로 1334 (태평동) 지1층,경원프라자",031-721-3441,,경기도,성남시,태평동,FALSE
월피태권도체육관,체육도장업,"경기도 안산시 상록구 월피로 22, 2층 아이호 (월피동, 안산현대2차아파트 상가동(A동)) ",031-4830-347,,경기도,안산시,,FALSE
의2리 마을쉼터 (공쌍),간이운동장, ,,054-420-8048,경상북도,김천시,,FALSE
이동운동장족구장,기타시설,경상남도 창원시 진해구 이동로2번길 8 (이동) ,055-548-4065,055-548-4065,경상남도,창원시,이동,FALSE
이천검도관,체육도장업,경기도 이천시 증신로 181 (증포동) ,031-634-0012,,경기도,이천시,,FALSE
인4리 소공원 (황소),간이운동장, ,,054-420-8047,경상북도,김천시,,FALSE
일동태권도장,체육도장업,경기도 안산시 상록구 도매시장로 113 (일동) ,031-406-3034,,경기도,안산시,일동,FALSE
잔디당구장,당구장업,"경기도 성남시 수정구 논골로 8 (양지동,2층) ",,,경기도,성남시,,FALSE
장미공원 야외운동기구,간이운동장,경북 문경시 모전동 865-4 ,054-550-8884,054-550-6717,경상북도,문경시,모전동,FALSE
제일공원 야외운동기구,간이운동장,경상북도 문경시 매봉2길 15-12 (모전동) ,054-550-8884,054-550-6717,경상북도,문경시,모전동,FALSE
제일당구장,당구장업,경기도 안산시 단원구 백성길 38 (원곡동) ,031-494-8497,,경기도,안산시,,FALSE
준당구장,당구장업,경기도 안산시 단원구 원본로1길 10-5 (원곡동) ,031-491-7308,,경기도,안산시,,FALSE
중앙한양대태권도,체육도장업, ,031-410-9793,,경기도,안산시,,FALSE
차탄리 노인회관 뒤,간이운동장,경기도 연천군 연천읍 차현로 92 ,031-839-2701,031-839-2145,경기도,연천군,차탄리,FALSE
참조은고려태권도장,체육도장업,"경기도 안산시 상록구 충장로 574, 4층 (월피동) ",,,경기도,안산시,,FALSE
청록태권도장,체육도장업,경기도 안산시 상록구 석호로 1 (이동) ,031-4164-632,,경기도,안산시,,FALSE
청명검도관,체육도장업,경기도 안산시 단원구 선부로 191(선부동) ,031-439-7767,,경기도,안산시,선부동,FALSE
태양당구장,당구장업,경기도 안산시 단원구 라성로 36 (원곡동) ,031-484-2358,3484-2358,경기도,안산시,,FALSE
태양당구장,당구장업,"경기도 성남시 수정구 복정로 57 (복정동,3층) ",031-759-4784,,경기도,성남시,,FALSE
태촌리 3리 배시내소공원,간이운동장, ,,054-420-7929,경상북도,김천시,,FALSE
포인트당구장,당구장업,"경기도 성남시 수정구 모란로 69 (수진동,2층) 산호아파트상가 201호209호210호",,,경기도,성남시,,FALSE
한국무도학원,무도학원업,경기도 김포시 북변로 8-7(북변동) 지하,031-982-1831,,경기도,김포시,,FALSE
한국태권도체육관,체육도장업,"경기도 안산시 단원구 화정천동로6길 37, 1층 (와동) 1층 (와동)",031-480-3470,,경기도,안산시,,FALSE
한샘태권도장,체육도장업,경기도 안산시 상록구 충장로 674 (부곡동) 2층,031-410-5077,031-410-5077,경기도,안산시,부곡동,FALSE
한체대태권도아카데미,체육도장업,경기도 안산시 상록구 초당로 28 (사동) ,031-417-8220,,경기도,안산시,,FALSE
홍백당구장,당구장업,"경기도 성남시 수정구 산성대로 495 (양지동,2층) ",031-734-6625,031-734-6625,경기도,성남시,,FALSE
화성당구장,당구장업,"경기도 안산시 단원구 선부로 183, 화성프라자 4층 6호,7호호 (선부동) 화성프라자 4층 6호,7호호 (선부동)",031-413-3006,,경기도,안산시,,FALSE
"\66\"" 파워하우스짐""",체력단련장업,전라남도 곡성군 곡성읍 중앙로 66 ,,,전라남도,곡성군,읍내리,FALSE
#(정)당구장,당구장업,울산광역시 동구 대송8길 31(화정동) ,,,울산광역시,동구,화정동,FALSE
#SG당구클럽,당구장업,경상북도 김천시 혁신3로 19 (율곡동) 3층,,,경상북도,김천시,율곡동,FALSE
#당구클럽,당구장업,대구광역시 남구 중앙대로48길 3 (대명동) ,053-473-5338,,대구광역시,남구,대명동,FALSE
#클린짐,체력단련장업,대구광역시 수성구 용학로 212 (지산동) ,,,대구광역시,수성구,지산동,FALSE
#클린짐 수성점,체력단련장업,"대구광역시 수성구 용학로25안길 9, 2층 (두산동) 2층 (두산동)",053-783-4477,,대구광역시,수성구,,FALSE
(D)골프,가상체험 체육시설업,광주광역시 동구 제봉로 221-11 (대인동) ,,,광주광역시,동구,대인동,FALSE
(DREAM OF JUDO) 흥덕유도관,체육도장업,충청북도 청주시 흥덕구 직지대로 571 (봉명동) (봉명동),043-262-7077,,충청북도,청주시,,FALSE
(Dream of JUDO)영동유도관,체육도장업,충청북도 영동군 영동읍 계산로1길 21 ,043-744-4574,,충청북도,영동군,계산리,FALSE
(Dream of Judo)노은유도관,체육도장업,대전광역시 유성구 은구비남로7번길 50(지족동) 301호 (지족동),042-486-0608,,대전광역시,유성구,,FALSE
(GDR GOLF ACADEMY) 김해연지점,골프연습장업,경상남도 김해시 우암로 175(내동) 4층 401호 (내동),055-312-4159,,경상남도,김해시,내동,FALSE
(GDR)골프아카데미 라퍼스트,골프연습장업,경기도 수원시 권선구 곡반정로 160 (곡반정동) 605호,031-222-7942,,경기도,수원시,곡반정동,FALSE
(GDR)골프아카데미 홈플러스가좌점,가상체험 체육시설업,인천광역시 서구 가정로151번길 11 (가좌동) 홈플러스 가좌점 3층 (가좌동),032-000-0000,,인천광역시,서구,가좌동,FALSE
(M)골프(엠골프스크린),가상체험 체육시설업,"서울특별시 성동구 자동차시장길 42 (용답동) 1층, 3층 (용답동)",,02-2216-8000,서울특별시,성동구,,FALSE
(QED)더메이트골프아카데미,가상체험 체육시설업,부산광역시 부산진구 동평로 106(당감동) 앨리움 메디컬센터 12층 (당감동),,,부산광역시,부산진구,,FALSE
(R)알 당구클럽,당구장업,충청남도 천안시 서북구 원두정7길 25(두정동) ,,,충청남도,천안시,두정동,FALSE
(SG)골프 세종 법원점,가상체험 체육시설업,세종특별자치시 소담로 70 (소담동) ,044-865-0013,,세종특별자치시,세종시,소담동,FALSE
(SG스크린골프)도도,가상체험 체육시설업,"세종특별자치시 부강면 부강로 47, 2층 2층",044-864-0757,,세종특별자치시,세종시,,FALSE
(갈지리)삼성마을,간이운동장,경상북도 청도군 금천면 삼성길 15 ,054-370-2591,054-370-2374,경상북도,청도군,갈지리,FALSE
(게이트볼장-03) 선리,전천후게이트볼장,경남 양산시 원동면 선리 1489 ,055-392-7154,055-392-7157,경상남도,양산시,선리,FALSE
(게이트볼장-04) 원리,전천후게이트볼장,경상남도 양산시 원동면 원동마을길 65 ,055-392-7157,055-392-7157,경상남도,양산시,원리,FALSE
(게이트볼장-07) 삼감,전천후게이트볼장,경남 양산시 하북면 삼감리 470-3 ,055-392-7253,055-392-7253,경상남도,양산시,삼감리,FALSE
(게이트볼장-08) 어곡주민공원,전천후게이트볼장,경상남도 양산시 학동길 45(어곡동) ,055-392-3405,055-392-3404,경상남도,양산시,어곡동,FALSE
(게이트볼장-09) 교동,전천후게이트볼장,경상남도 양산시 충렬로 27(교동) ,055-392-3405,055-392-3404,경상남도,양산시,교동,FALSE
(게이트볼장-11) 서창,전천후게이트볼장,경남 양산시 삼호동 823-2 ,055-392-6184,055-392-6184,경상남도,양산시,삼호동,FALSE
(게이트볼장-12) 소주,전천후게이트볼장,경남 양산시 소주동 133-1 ,055-392-6184,055-392-6184,경상남도,양산시,소주동,FALSE
(게이트볼장-13) 평산,전천후게이트볼장,경남 양산시 평산동 74-2 ,055-392-6184,055-392-6184,경상남도,양산시,평산동,FALSE
(게이트볼장-14) 웅상,전천후게이트볼장,경남 양산시 덕계동 811-51 ,055-392-6184,055-392-6184,경상남도,양산시,덕계동,FALSE
(게이트볼장-15) 제26호 완충녹지,전천후게이트볼장,경남 양산시 남부동 888 ,055-392-3405,055-392-3404,경상남도,양산시,남부동,FALSE
(게이트볼장-16) 마로니에어린이공원,전천후게이트볼장,경남 양산시 북정동 912-1 ,055-392-3405,055-392-3404,경상남도,양산시,북정동,FALSE
(게이트볼장-17) 범어근린공원,전천후게이트볼장,경상남도 양산시 물금읍 서남5길 33-1 ,055-392-7015,055-392-7015,경상남도,양산시,범어리,FALSE
(게이트볼장-18) 제43호 완충녹지,전천후게이트볼장,경남 양산시 물금읍 범어리 2818 ,055-392-7015,055-392-7015,경상남도,양산시,범어리,FALSE
(게이트볼장-19) 동새들천 근린공원,전천후게이트볼장,경상남도 양산시 물금읍 신주1길 51 ,055-392-7015,055-392-7015,경상남도,양산시,범어리,FALSE
(게이트볼장-20) 새터어린이공원,전천후게이트볼장,경상남도 양산시 물금읍 가촌서7길 19 ,055-392-7015,055-392-7015,경상남도,양산시,가촌리,FALSE
(게이트볼장-21) 해강어린이공원,전천후게이트볼장,경상남도 양산시 동면 석산6길 13 ,055-392-3405,055-392-3404,경상남도,양산시,석산리,FALSE
(공원)아파트내,간이운동장, ,,054-420-8044,경상북도,김천시,,FALSE
(공원-001) 범어근린공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 서남5길 33-1 ,055-392-7016,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-02) 음악분수공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 메기로 399 ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-03) 워터파크 야외운동시설,간이운동장,경상남도 양산시 물금읍 신주2길 25 ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-04) 동새들천공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 신주1길 51 ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-05) 디자인공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 부산대학로 16 ,055-392-3183,055-392-3183,경상남도,양산시,가촌리,FALSE
(공원-06) 구두공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,가촌리,FALSE
(공원-066) 서일동어린이공원 야외운동시설,간이운동장,경남 양산시 중부동 604-1 ,055-392-3183,055-392-3183,경상남도,양산시,중부동,FALSE
(공원-07) 증산역공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 메기로 118 ,055-392-3183,055-392-3183,경상남도,양산시,증산리,FALSE
(공원-08) 물금남부공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,물금리,FALSE
(공원-09) 신기공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,가촌리,FALSE
(공원-10) 메기들공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,가촌리,FALSE
(공원-100) 하북주민쉼터 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,순지리,FALSE
(공원-101) 초산리 도로변 공한지 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,초산리,FALSE
(공원-102) 가산리 도로변 공한지 야외운동시설,간이운동장,경상남도 양산시 동면 호포새동네길 5 ,055-392-3183,055-392-3183,경상남도,양산시,가산리,FALSE
(공원-11) 수학체험공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-12) 봉수대공원 야외운동시설,간이운동장,경상남도 양산시 상북면 석계산단1길 86 ,055-392-3183,055-392-3183,경상남도,양산시,석계리,FALSE
(공원-13) 금산근린공원 야외운동시서,간이운동장,경상남도 양산시 동면 금오1길 8 ,055-392-3183,055-392-3183,경상남도,양산시,금산리,FALSE
(공원-14) 석산근린공원 야외운동시설,간이운동장,경상남도 양산시 동면 금오13길 46-26 ,055-392-3183,055-392-3183,경상남도,양산시,석산리,FALSE
(공원-15) 삽량근린공원 야외운동시설,간이운동장,경상남도 양산시 양주로 77(남부동) ,055-392-3183,055-392-3183,경상남도,양산시,남부동,FALSE
(공원-16) 양주근린공원 야외운동시설,간이운동장,경상남도 양산시 양주3길 36(중부동) ,055-392-3183,055-392-3183,경상남도,양산시,중부동,FALSE
(공원-17) 북정근린공원 야외운동시설,간이운동장,경상남도 양산시 북정로 129(북정동) ,055-392-3183,055-392-3183,경상남도,양산시,북정동,FALSE
(공원-18) 부부총공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,북정동,FALSE
(공원-19) 산막근린공원 야외운동시설,간이운동장,경상남도 양산시 산막공단북9길 60-42(산막동) ,055-392-3183,055-392-3183,경상남도,양산시,산막동,FALSE
(공원-20) 범실근린공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,호계동,FALSE
(공원-21) 어곡근로자근린공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,어곡동,FALSE
(공원-22) 어곡산업단지근린공원 야외운동시설,간이운동장,경상남도 양산시 어곡공단3길 50(어곡동) ,055-392-3183,055-392-3183,경상남도,양산시,어곡동,FALSE
(공원-23) 춘추공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,교동,FALSE
(공원-24) 오봉산어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-25) 주산지어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-26) 범어어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-27) 신동중어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-28) 서남어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-29) 가촌신기어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,가촌리,FALSE
(공원-30) 새터어린이공원 야외운동시설,간이운동장,경상남도 양산시 물금읍 가촌서7길 19 ,055-392-3183,055-392-3183,경상남도,양산시,가촌리,FALSE
(공원-31) 가촌어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,가촌리,FALSE
(공원-32) 새싹어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-33) 범어황산어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-34) 남양산어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-35) 야리공원 야외운동시설,간이운동장, ,054-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-36) 오래뜰어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,증산리,FALSE
(공원-37) 통새미공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,가촌리,FALSE
(공원-38) 새솔어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,증산리,FALSE
(공원-39) 새실공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,가촌리,FALSE
(공원-40) 물금동부공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,물금리,FALSE
(공원-41) 물금중부공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,물금리,FALSE
(공원-42) 잎새어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,범어리,FALSE
(공원-43) 다솜어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,증산리,FALSE
(공원-44) 가람뜰어린이공원 야외운동시설,간이운동장, ,054-392-3183,055-392-3183,경상남도,양산시,증산리,FALSE
(공원-46) 해강어린이공원 야외운동시설,간이운동장,경상남도 양산시 동면 석산6길 13 ,053-392-3183,055-392-3183,경상남도,양산시,석산리,FALSE
(공원-47) 한신어린이공원 야외운동시설,간이운동장,경남 양산시 동면 석산리 517 ,055-392-3183,055-392-3183,경상남도,양산시,석산리,FALSE
(공원-48) 은행나무어린이공원 야외운동시설,간이운동장,경상남도 양산시 동면 금산5길 48-8 ,055-392-3183,055-392-3183,경상남도,양산시,금산리,FALSE
(공원-49) 금산날뜰어린이공원 야외운동시설,간이운동장,경남 양산시 동면 금산리 585-1 ,055-392-3183,055-392-3183,경상남도,양산시,금산리,FALSE
(공원-50) 목련어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,금산리,FALSE
(공원-51) 금산어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,금산리,FALSE
(공원-52) 금산들어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,금산리,FALSE
(공원-53) 석금산어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,석산리,FALSE
(공원-54) 석산경변어린이공원 야외운동시설,간이운동장,경남 양산시 동면 석산리 1447-2 ,055-392-3183,055-392-3183,경상남도,양산시,석산리,FALSE
(공원-55) 꿈샘어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,석계리,FALSE
(공원-56) 여울어린이공원 야외운동시설,간이운동장,경남 양산시 상북면 석계리 245-4 ,055-392-3183,055-392-3183,경상남도,양산시,석계리,FALSE
(공원-57) 대석어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,대석리,FALSE
(공원-58) 북부마을공원 야외운동시설,간이운동장,경상남도 양산시 하북면 신평7길 17 ,055-392-3183,055-392-3183,경상남도,양산시,순지리,FALSE
(공원-59) 초산어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,초산리,FALSE
(공원-60) 남부어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,남부동,FALSE
(공원-61) 황산어린이공원 야외운동시설,간이운동장, ,055-392-3183,055-392-3183,경상남도,양산시,중부동,FALSE
