종목명,부종목명,시도명,시군구명,프로그램명,장애유형명,운영시간,프로그램소개내용,모집시작일,모집종료일,운영시작일,운영종료일
배드민턴,,강원도,강원도 원주시,(기금)2023 원주시장애인체육회 발달장애청소년 배드민턴교실,발달(지적/자폐)장애,금/토 17:00~/13:00~,,2023-03-01,2023-03-31,2023-04-01,2023-11-25
배드민턴,,전라남도,전라남도 순천시,2023  전남 순천시 장애인생활체육 농아인배드민턴교실,청각장애,14:00~16:00,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
배드민턴,,경기도,경기도 포천시,포천시 김지연 지도자 배드민턴 교실(16명),발달(지적/자폐)장애,매주 금 09:55~11:35,,2023-01-01,2023-12-31,2023-01-01,2023-12-31
배드민턴,,충청남도,충청남도 서천군,(기금) 장애청소년 배드민턴교실,발달(지적/자폐)장애,목 9:00 ~ 9:40,,2023-01-01,2023-12-31,2023-04-06,2023-10-26
배드민턴,,경기도,경기도 포천시,포천시 김지연 지도자 배드민턴 교실(18명),발달(지적/자폐)장애,매주 월 13:30~15:15,,2023-01-01,2023-12-31,2023-01-01,2023-12-31
배드민턴,,경상북도,경상북도 포항시,지적장애인 배드민턴교실,발달(지적/자폐)장애,"수,금 15:00 ~ 15:40",,2023-03-01,2023-03-31,2023-04-01,2023-06-30
배드민턴,,전라남도,전라남도 담양군,2023 전남 담양군 장애인생활체육 배드민턴교실,지체(척수 및 절단 및 기타)장애,15:30~16:30,,2023-03-01,2023-03-31,2023-04-01,2023-12-31
배드민턴,,경기도,경기도 의왕시,희망나래장애인복지관(배드민턴 교실),발달(지적/자폐)장애,"매주 화,목 17:30~18:30",희망나래장애인복지관(배드민턴 교실),2023-01-01,2023-12-30,2023-03-01,2023-12-30
배드민턴,,경기도,경기도 안성시,안성시 장애인 배드민턴 생활체육교실,발달(지적/자폐)장애,매주 금요일 18:30~19:30,,2023-02-13,2023-03-13,2023-04-07,2023-10-13
배드민턴,,대구광역시,대구광역시 수성구,2023년 대구장애인초보자배드민턴체육교실(배드민턴협회),지체(척수 및 절단 및 기타)장애,매주 토요일 10:00~12:30,초보자분들이 배드민턴 종목을 천천히 배울 수 있도록 지도 및 관리,2023-02-01,2023-02-20,2023-04-01,2023-10-28
배드민턴,,충청남도,충청남도 서천군,(군비) 서천군 어울림 배드민턴교실,지체(척수 및 절단 및 기타)장애,금 10:00 ~ 11:30,,2023-01-01,2023-12-31,2023-04-07,2023-10-27
배드민턴,,울산광역시,울산광역시 울주군,2023 발달장애인생활체육 배드민턴교실 - 콕 놀이마당,기타장애,월 10:00~11:00,-담당자 : 예현 010-2891-1714,2023-01-01,2023-12-31,2023-01-01,2023-12-31
배드민턴,,충청남도,충청남도 논산시,(기금)논산시장애인배드민턴교실,청각장애,매주 화 오후2시~3시,,2023-01-02,2023-04-01,2023-04-04,2023-10-10
배드민턴,,서울특별시,서울특별시 금천구,(지방비) 2023 금천구 다유형 생활체육 배드민턴 교실,지체(척수 및 절단 및 기타)장애,목 13:00~15:00,금천구 다유형 생활체육 배드민턴 교실,2023-03-01,2023-03-31,2023-04-05,2023-10-31
배드민턴,,충청남도,충청남도 금산군,(군비)금산군 장애인 생활체육 배드민턴교실,지체(척수 및 절단 및 기타)장애,화/목 19:00 ~ 20:00,2023년 금산군 장애인 생활체육 배드민턴교실,2023-07-04,2023-11-16,2023-07-04,2023-11-16
